2022-05-12 16:16:03.760 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：河南舞阳：网格员成群众身边“贴心人” 共检索到 5条 有效request
2022-05-12 16:16:03.791 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 德国4月通胀率再创新高
2022-05-12 16:16:03.805 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 河南舞阳：网格员成群众身边“贴心人”
2022-05-12 16:16:03.930 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 头条  关键词：广西融安：防汛演练备汛期 共检索到 60条 有效request
2022-05-12 16:16:03.989 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 广西融安：防汛演练备汛期
2022-05-12 16:16:04.039 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：河南舞阳：网格员成群众身边“贴心人” 共检索到 104条 有效request
2022-05-12 16:16:04.060 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 河南舞阳：网格员成群众身边“贴心人”
2022-05-12 16:16:04.255 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 头条  关键词：俄罗斯举行胜利日阅兵 共检索到 49条 有效request
2022-05-12 16:16:04.288 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 俄罗斯举行胜利日阅兵
2022-05-12 16:16:04.879 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：德国4月通胀率再创新高 共检索到 40条 有效request
2022-05-12 16:16:04.905 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 德国4月通胀率再创新高
2022-05-12 16:16:05.073 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：河南舞阳：网格员成群众身边“贴心人” 共检索到 50条 有效request
2022-05-12 16:16:05.106 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 河南舞阳：网格员成群众身边“贴心人”
2022-05-12 16:16:05.555 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：第78集团军某旅：“伴随保障”强化战场意识 共检索到 0条 有效request
2022-05-12 16:16:05.586 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：河南舞阳：网格员成群众身边“贴心人” 共检索到 0条 有效request
2022-05-12 16:16:05.605 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 第78集团军某旅：“伴随保障”强化战场意识
2022-05-12 16:16:05.632 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 河南舞阳：网格员成群众身边“贴心人”
2022-05-12 16:16:05.727 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：克罗地亚前总统高度评价中克建交30年关系发展 共检索到 4条 有效request
2022-05-12 16:16:05.753 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 克罗地亚前总统高度评价中克建交30年关系发展
2022-05-12 16:16:06.076 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：俄罗斯举行胜利日阅兵 共检索到 104条 有效request
2022-05-12 16:16:06.094 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 俄罗斯举行胜利日阅兵
2022-05-12 16:16:06.283 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：华南有持续性强降雨 多地气象部门强化应急联动全力防范应对强降雨 共检索到 50条 有效request
2022-05-12 16:16:06.309 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 华南有持续性强降雨 多地气象部门强化应急联动全力防范应对强降雨
2022-05-12 16:16:06.773 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：伊拉克底格里斯河水位下降 共检索到 220条 有效request
2022-05-12 16:16:06.800 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 伊拉克底格里斯河水位下降
2022-05-12 16:16:06.836 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：第78集团军某旅：“伴随保障”强化战场意识 共检索到 95条 有效request
2022-05-12 16:16:06.845 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 第78集团军某旅：“伴随保障”强化战场意识
2022-05-12 16:16:06.926 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：第78集团军某旅：“伴随保障”强化战场意识 共检索到 7条 有效request
2022-05-12 16:16:06.944 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 第78集团军某旅：“伴随保障”强化战场意识
2022-05-12 16:16:07.170 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：确保算法应用向上向善（金台锐评） 共检索到 0条 有效request
2022-05-12 16:16:07.199 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 确保算法应用向上向善（金台锐评）
2022-05-12 16:16:07.206 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：俄罗斯举行胜利日阅兵 共检索到 217条 有效request
2022-05-12 16:16:07.227 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 俄罗斯举行胜利日阅兵
2022-05-12 16:16:07.663 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：帮助226万名退役军人实现就业（新数据 新看点） 共检索到 50条 有效request
2022-05-12 16:16:07.779 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 帮助226万名退役军人实现就业（新数据 新看点）
2022-05-12 16:16:08.001 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：确保算法应用向上向善（金台锐评） 共检索到 0条 有效request
2022-05-12 16:16:08.009 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 确保算法应用向上向善（金台锐评）
2022-05-12 16:16:08.431 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：克罗地亚前总统高度评价中克建交30年关系发展 共检索到 4条 有效request
2022-05-12 16:16:08.460 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 克罗地亚前总统高度评价中克建交30年关系发展
2022-05-12 16:16:08.529 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：河南舞阳：网格员成群众身边“贴心人” 共检索到 95条 有效request
