2022-05-05 19:14:40.480 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：美疾控中心：一些不明病因儿童肝炎可能为腺病毒所致 共检索到 80条 有效request
2022-05-05 19:14:40.480 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 美疾控中心：一些不明病因儿童肝炎可能为腺病毒所致
2022-05-05 19:14:42.773 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：“只要有一线希望，我们都将百倍努力” 共检索到 10条 有效request
2022-05-05 19:14:42.774 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 “只要有一线希望，我们都将百倍努力”
2022-05-05 19:14:44.658 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：郑泽光：推进中英绿色金融合作 助力绿色低碳发展 共检索到 20条 有效request
2022-05-05 19:14:44.659 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 郑泽光：推进中英绿色金融合作 助力绿色低碳发展
2022-05-05 19:14:45.254 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：青岛72个历史城区保护更新项目集中开工 共检索到 68条 有效request
2022-05-05 19:14:45.255 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 青岛72个历史城区保护更新项目集中开工
2022-05-05 19:14:45.284 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：匈牙利新一届国会成立 共检索到 55条 有效request
2022-05-05 19:14:45.285 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 匈牙利新一届国会成立
2022-05-05 19:14:45.350 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：中非应共同探索符合自身国情的民主道路——非洲多国议员积… 共检索到 40条 有效request
2022-05-05 19:14:45.351 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 中非应共同探索符合自身国情的民主道路——非洲多国议员积…
2022-05-05 19:14:47.975 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：法国蓬托尔松磨坊风车犹如童话世界 共检索到 10条 有效request
2022-05-05 19:14:47.976 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 法国蓬托尔松磨坊风车犹如童话世界
2022-05-05 19:14:48.959 | INFO     | monitor.projectManager:save_config:613 - 保存配置成功
2022-05-05 19:14:50.649 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：孟加拉国迎来玉米成熟季 多彩航拍图令人赞叹 共检索到 10条 有效request
2022-05-05 19:14:50.649 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 孟加拉国迎来玉米成熟季 多彩航拍图令人赞叹
2022-05-05 19:14:50.933 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：上海：嘉定安亭飞众方舱医院关舱 共检索到 28条 有效request
2022-05-05 19:14:50.934 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 上海：嘉定安亭飞众方舱医院关舱
2022-05-05 19:14:51.342 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：综述：“人民至上、生命至上”理念的生动实践——多国人士… 共检索到 64条 有效request
2022-05-05 19:14:51.343 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 综述：“人民至上、生命至上”理念的生动实践——多国人士…
2022-05-05 19:14:51.813 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：多地保障受疫情影响群众生活必需品供应情况扫描 共检索到 73条 有效request
2022-05-05 19:14:51.813 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 百度 删除关键词 多地保障受疫情影响群众生活必需品供应情况扫描
2022-05-05 19:14:53.707 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:149 - 百度  关键词：世卫组织：全球累计新冠确诊病例达511479320例 共检索到 60条 有效request
