2022-05-12 15:15:40.903 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：成语释法之岂有此“理” 共检索到 95条 有效request
2022-05-12 15:15:40.915 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 成语释法之岂有此“理”
2022-05-12 15:15:41.052 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：以色列中部发生袭击事件至少3死4伤 共检索到 0条 有效request
2022-05-12 15:15:41.059 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 以色列中部发生袭击事件至少3死4伤
2022-05-12 15:15:41.123 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：产教融合培养研究生 怎样才能让学校、企业“动真格” 共检索到 0条 有效request
2022-05-12 15:15:41.141 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 产教融合培养研究生 怎样才能让学校、企业“动真格”
2022-05-12 15:15:41.325 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：感觉不错！非洲留学生直播带货初体验 共检索到 31条 有效request
2022-05-12 15:15:41.337 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:41.388 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：全国防灾减灾日：记牢这些，关键时刻能自救！ 共检索到 25条 有效request
2022-05-12 15:15:41.403 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 全国防灾减灾日：记牢这些，关键时刻能自救！
2022-05-12 15:15:41.736 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：感觉不错！非洲留学生直播带货初体验 共检索到 0条 有效request
2022-05-12 15:15:41.770 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:41.789 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：韩拟借新潜艇强固“军备链” 共检索到 95条 有效request
2022-05-12 15:15:41.799 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 韩拟借新潜艇强固“军备链”
2022-05-12 15:15:41.836 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：产教融合培养研究生 怎样才能让学校、企业“动真格” 共检索到 1条 有效request
2022-05-12 15:15:41.865 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 产教融合培养研究生 怎样才能让学校、企业“动真格”
2022-05-12 15:15:42.568 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：伊拉克底格里斯河水位下降 共检索到 15条 有效request
2022-05-12 15:15:42.586 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 伊拉克底格里斯河水位下降
2022-05-12 15:15:42.893 | INFO     | monitor.projectManager:save_config:617 - 保存配置成功
2022-05-12 15:15:43.540 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：科威特王储批准内阁集体辞职 共检索到 0条 有效request
2022-05-12 15:15:43.563 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 科威特王储批准内阁集体辞职
2022-05-12 15:15:43.834 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：巴拿马加强海洋生态系统保护 共检索到 95条 有效request
2022-05-12 15:15:43.851 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 巴拿马加强海洋生态系统保护
2022-05-12 15:15:44.049 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：感觉不错！非洲留学生直播带货初体验 共检索到 20条 有效request
2022-05-12 15:15:44.073 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 感觉不错！非洲留学生直播带货初体验
2022-05-12 15:15:44.109 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：伊拉克底格里斯河水位下降 共检索到 31条 有效request
2022-05-12 15:15:44.113 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：全国防灾减灾日：记牢这些，关键时刻能自救！ 共检索到 95条 有效request
2022-05-12 15:15:44.123 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 伊拉克底格里斯河水位下降
2022-05-12 15:15:44.126 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 全国防灾减灾日：记牢这些，关键时刻能自救！
2022-05-12 15:15:44.147 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：青海西宁全域实行交通管控 并将开展多轮核酸检测 共检索到 0条 有效request
2022-05-12 15:15:44.177 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 青海西宁全域实行交通管控 并将开展多轮核酸检测
2022-05-12 15:15:44.181 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 贴吧  关键词：伊拉克底格里斯河水位下降 共检索到 0条 有效request
2022-05-12 15:15:44.241 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 贴吧 删除关键词 伊拉克底格里斯河水位下降
2022-05-12 15:15:44.372 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：最高检公安部联合发布依法惩治妨害疫情防控秩序违法犯罪典型案例 共检索到 54条 有效request
2022-05-12 15:15:44.384 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 最高检公安部联合发布依法惩治妨害疫情防控秩序违法犯罪典型案例
2022-05-12 15:15:44.417 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：产教融合培养研究生 怎样才能让学校、企业“动真格” 共检索到 95条 有效request
2022-05-12 15:15:44.466 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 产教融合培养研究生 怎样才能让学校、企业“动真格”
