2022-05-12 16:45:31.112 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 疫情防控莫松劲 逆水行舟用力撑
2022-05-12 16:45:31.238 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 微信  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 218条 有效request
2022-05-12 16:45:31.259 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 微信 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:31.301 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：疫情防控莫松劲 逆水行舟用力撑 共检索到 50条 有效request
2022-05-12 16:45:31.326 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 疫情防控莫松劲 逆水行舟用力撑
2022-05-12 16:45:31.391 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：英国新型护卫舰首舰举行龙骨铺设仪式 共检索到 95条 有效request
2022-05-12 16:45:31.413 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 英国新型护卫舰首舰举行龙骨铺设仪式
2022-05-12 16:45:31.708 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：英国新型护卫舰首舰举行龙骨铺设仪式 共检索到 0条 有效request
2022-05-12 16:45:31.722 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 英国新型护卫舰首舰举行龙骨铺设仪式
2022-05-12 16:45:31.840 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：英国新型护卫舰首舰举行龙骨铺设仪式 共检索到 104条 有效request
2022-05-12 16:45:31.846 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：中国赴黎巴嫩维和部队在当地开展“世界红十字日”活动 共检索到 104条 有效request
2022-05-12 16:45:31.848 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 英国新型护卫舰首舰举行龙骨铺设仪式
2022-05-12 16:45:31.861 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 中国赴黎巴嫩维和部队在当地开展“世界红十字日”活动
2022-05-12 16:45:32.123 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民日报  关键词：王毅同巴基斯坦外长比拉瓦尔举行视频会晤 共检索到 95条 有效request
2022-05-12 16:45:32.144 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民日报 删除关键词 王毅同巴基斯坦外长比拉瓦尔举行视频会晤
2022-05-12 16:45:32.270 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 50条 有效request
2022-05-12 16:45:32.282 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:32.413 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 104条 有效request
2022-05-12 16:45:32.420 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:32.436 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 人民网  关键词：王毅同巴基斯坦外长比拉瓦尔举行视频会晤 共检索到 0条 有效request
2022-05-12 16:45:32.454 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 人民网 删除关键词 王毅同巴基斯坦外长比拉瓦尔举行视频会晤
2022-05-12 16:45:32.891 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 104条 有效request
2022-05-12 16:45:32.893 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 2条 有效request
2022-05-12 16:45:32.909 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:32.919 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:33.675 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 50条 有效request
2022-05-12 16:45:33.691 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:33.952 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：华南有持续性强降雨 多地气象部门强化应急联动全力防范应对强降雨 共检索到 104条 有效request
2022-05-12 16:45:33.965 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 华南有持续性强降雨 多地气象部门强化应急联动全力防范应对强降雨
2022-05-12 16:45:34.030 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 头条  关键词：英国新型护卫舰首舰举行龙骨铺设仪式 共检索到 0条 有效request
2022-05-12 16:45:34.036 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 头条 删除关键词 英国新型护卫舰首舰举行龙骨铺设仪式
2022-05-12 16:45:34.457 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：冲刺张南高速全线通车 共检索到 104条 有效request
2022-05-12 16:45:34.460 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 凤凰网  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 2条 有效request
2022-05-12 16:45:34.466 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 冲刺张南高速全线通车
2022-05-12 16:45:34.477 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 凤凰网 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:34.730 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 乌有之乡  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 50条 有效request
2022-05-12 16:45:34.737 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 乌有之乡 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
2022-05-12 16:45:34.858 | INFO     | monitor.spiderManager:crawl_by_keyword_signal_platform:148 - 强国论坛  关键词：家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导 共检索到 104条 有效request
2022-05-12 16:45:34.870 | INFO     | monitor.spiderManager:crawl_by_keyword:123 - 热点爬虫 强国论坛 删除关键词 家庭教育促进法施行以来 北京法院对137名家长予以训诫或责令接受家庭教育指导
